Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,GB,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,NL,AD_STREAM,1.000000000,0.000340800,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,SE,AD_STREAM,1.000000000,0.000320200,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,US,AD_STREAM,4.000000000,0.008299000,100,100
2024-12-01,2025-01-01,Le Zhang,,新年-停泊他乡,,QZS642532423,SOUNDCLOUD,US,SUB_STREAM,1.000000000,0.007026600,100,100
2024-12-01,2025-01-01,Le Zhang,,Scrolls by your side,,QZS642537282,SOUNDCLOUD,DE,AD_STREAM,1.000000000,0.000535200,100,100
2024-12-01,2025-01-01,Le Zhang,,Scrolls by your side,,QZS642537282,SOUNDCLOUD,FR,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,Scrolls by your side,,QZS642537282,SOUNDCLOUD,GB,AD_STREAM,1.000000000,0.001412400,100,100
2024-12-01,2025-01-01,Le Zhang,,Scrolls by your side,,QZS642537282,SOUNDCLOUD,US,AD_STREAM,3.000000000,0.008012900,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,AU,AD_STREAM,7.000000000,0.007875000,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,CA,AD_STREAM,4.000000000,0.000847800,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,DE,AD_STREAM,10.000000000,0.003481700,100,100
2024-12-01,2025-01-01,Le Zhang,,年末雪,,QZS642553201,SOUNDCLOUD,ES,AD_STREAM,1.000000000,0.000033900,100,100
